Row1,Row2,Correlation Coefficient
3,116,0.4893023925237918
3,117,0.28410768824897137
3,118,-0.9488981325505905
3,119,-0.41897500611650257
3,120,0.10163103681604836
3,121,-0.4587693136026274
3,122,-0.20766875690319966
3,123,0.5317271528183745
3,124,-0.38270821308459235
3,125,-0.5607003574958745
3,126,-0.38446047061732525
3,127,-0.019657159793125278
3,128,0.26574161126598206
3,129,-0.11269174631750797
3,130,-0.09195892862531072
3,131,0.14120142628646207
3,132,-0.3124535473751978
3,133,-0.38338786693256127
3,134,0.4330025738606626
3,135,-0.16625686697230677
3,136,0.22063280263460805
3,137,-0.15086220165177905
3,138,-0.010148704609964077
3,139,0.44491720816876545
3,140,-0.1908989181401763
3,141,-0.311894085970539
3,142,0.283002336486552
3,143,-0.09269609780850134
3,144,-0.3097434253727904
3,145,-0.6705037392730858
3,146,0.16839829457598002
3,147,0.13907099221572353
3,148,-0.18418990763299217
3,149,-0.5007570631461756
3,150,-0.007679809826941731
3,151,-0.21681362771074245
3,152,-0.2053468379759613
3,153,-0.08397358383069768
3,154,-0.9911441405677821
3,155,-0.39479817295542347
3,156,0.40668946621208824
3,157,0.17177950434125588
3,158,0.09177694068525209
3,159,0.13196512477576264
3,160,-0.03567952082108611
3,161,-0.2691210178680236
3,162,0.39111998461862607
3,163,-0.1198719225276764
3,164,0.15035895128022458
3,165,-0.16090424428775227
3,166,0.29959404582215815
3,167,-0.3187387974205346
3,168,0.10159081718505673
3,169,0.16500364805789883
3,170,-0.5261813294821625
3,171,-0.688271617681579
3,172,-0.7199884000456687
3,173,-0.06969218260083
3,174,-0.07790098172477807
3,175,0.27055522691968625
3,176,0.8404145568463824
3,177,0.6623851417494906
3,178,-0.6572994875849753
3,179,-0.3435136892556783
3,180,-0.28152129050874064
3,181,0.1939815971031913
3,182,0.23853011645166433
3,183,-0.7508497616675629
3,184,0.3701999706603333
3,185,0.04532913954287738
3,186,-0.141834371485454
3,187,-0.3246270617297622
3,188,0.2330055561155208
3,189,-0.5113837855247694
3,190,0.35846421230894066
3,191,0.28429707061681614
3,192,-0.14390988342777306
3,193,-0.0910114947045264
3,194,-0.24855878328764724
3,195,-0.8227868212874826
3,196,-0.5208023725527954
3,197,-0.43686071466806364
3,198,0.40111680911287884
3,199,0.20028466268299844
3,200,-0.2704264855739652
3,201,-0.24265970843552379
3,202,-0.2689223653163356
3,203,-0.12355103453615711
3,204,-0.34478612034240763
3,205,0.4798622898686053
3,206,-0.7560403432572776
3,207,-0.23640721091928346
3,208,-0.3400106984795545
3,209,-0.6244089022845161
3,210,0.3165157586224947
3,211,0.1262545048704771
3,212,-0.2617077367619641
3,213,0.22299533606096963
3,214,0.44014674525153524
3,215,-0.5357474809954985
3,216,0.24085570256375682
3,217,-0.46589707715647155
3,218,0.32528128372919557
3,219,0.04846461425770147
3,220,-0.39296995731141277
3,221,-0.10892729091448244
3,222,0.07130552378662278
3,223,-0.20946760594079436
3,224,0.680577430403555
3,225,0.10208858271409907
3,226,0.09377045278490079
3,227,-0.11454454576588674
3,228,-0.7627624226530425
3,229,0.08124072395785052
3,230,-0.1746261597022187
3,231,0.19705647755366038
3,232,-0.027024350813965727
3,233,0.6163808546877007
3,234,0.07294774210909265
3,235,0.1282309987538619
3,236,-0.12668033101764245
3,237,-0.5155749315989899
3,238,0.20912827827042083
3,239,-0.49237990022521416
3,240,0.03320347190096141
3,241,0.2462709974429981
3,242,-0.33806216505458064
3,243,-0.3427923401969818
3,244,0.04961854702227243
3,245,-0.14907431780733052
3,246,-0.4266125727274588
3,247,0.7233921921469112
3,248,-0.4943465149162154
3,249,0.4588408038508013
3,250,-0.21813018166183526
4,5,0.5757867541731755
4,6,0.8685143148128016
4,7,0.35983112716397114
4,8,0.47347362539463017
4,9,0.6761507756828662
4,10,0.9236846802115023
4,11,0.18359855315153656
4,12,-0.11012180878909163
4,13,0.28587253748479613
4,14,0.7075048022368496
4,15,0.7217231889825181
4,16,0.6265162905092216
4,17,0.40011179919368534
4,18,0.643131212008017
4,19,-0.15520199477883387
4,20,0.379438860950138
4,21,0.5989754900146749
4,22,-0.07490445918730218
4,23,0.5771537225783041
4,24,0.5023541190331001
4,25,0.4588682221863985
4,26,0.347249778293836
4,27,0.31710142988119094
4,28,0.4453709207517214
4,29,0.5272400287255969
4,30,0.3828428647067584
4,31,0.5970932209995468
4,32,0.6893608349111453
4,33,0.3934545538422946
4,34,0.340485347654094
4,35,0.5187183785330138
4,36,0.7259445613312934
4,37,0.42044521669785206
4,38,0.5184025573347267
4,39,0.5918657207321435
4,40,-0.18229013403201522
4,41,0.2788862217992053
4,42,0.6588262270610804
4,43,0.9737614395111992
4,44,0.4631720165058106
4,45,0.5227934567687019
4,46,0.35172180295270056
4,47,0.37134995395017933
4,48,0.2215683266946618
4,49,0.8552469772422906
4,50,0.5754429261976166
4,51,0.6841195202440755
4,52,0.842893035286275
4,53,0.19397295210757945
4,54,-0.40567972017677656
4,55,0.47861695697379286
4,56,0.5564237198859576
4,57,0.268964680910443
4,58,0.562922912210131
4,59,0.6312329714742757
4,60,0.3708551268815425
4,61,0.447051002742705
4,62,0.655054470838204
4,63,0.6640674660618556
4,64,0.9129368270985373
4,65,0.4450554341138629
4,66,-0.24375272949341897
4,67,0.6460962170671695
4,68,0.4952065896915372
4,69,0.5526715666252824
4,70,0.10803832098296183
4,71,0.9839558948278403
4,72,0.601721598880238
4,73,0.37806585337388127
4,74,0.8981936268060796
4,75,0.6397218735083136
4,76,-0.023939038454967563
4,77,0.6550122045806045
4,78,-0.9184134388823856
4,79,0.57804737636121
4,80,0.8382528735100393
4,81,0.5125852702534784
4,82,0.7114132980158868
4,83,0.32098099384717804
4,84,0.8800359415900614
4,85,-0.023146475030544705
4,86,0.7675093276216457
4,87,0.7674795808446855
4,88,0.5918196010635723
4,89,0.6368618474777148
4,90,0.6729366250270804
